,frame,image_id,colony_area,cell_count,cell_area,cell_length,medium
116,36,977,131942.50272982952,295,103508.5,10244.548785475134,Acetate-MOPS
117,37,977,150731.08347994206,351,117575.5,11740.743833005454,Acetate-MOPS
118,38,977,172037.22296259296,405,135696.0,13516.724584330641,Acetate-MOPS
119,39,977,193208.6817177836,452,152965.5,15263.083774623321,Acetate-MOPS
120,0,978,2621.6778370880056,6,2234.0,202.73272786357356,Acetate-MOPS
121,1,978,3048.61201403616,7,2597.0,270.74732186262577,Acetate-MOPS
122,2,978,3353.749563904013,8,2847.5,264.77413112064426,Acetate-MOPS
123,3,978,3855.419143235078,9,3286.5,356.1703428778857,Acetate-MOPS
124,4,978,4133.8989636644255,8,3498.0,325.4823099220443,Acetate-MOPS
125,5,978,4833.98711678572,12,3942.5,378.0526044662191,Acetate-MOPS
126,6,978,5657.615115733584,15,4600.5,482.9557669401835,Acetate-MOPS
127,7,978,6243.30866721971,16,5051.0,487.5884864540467,Acetate-MOPS
128,8,978,6861.755694979336,16,5639.0,539.338115022414,Acetate-MOPS
129,9,978,8011.440379835898,18,6391.0,654.7950477632179,Acetate-MOPS
130,10,978,8962.816704788012,19,7088.0,714.0539800085523,Acetate-MOPS
131,11,978,10232.939991366118,24,7873.5,754.2730108369894,Acetate-MOPS
132,12,978,11913.89051062218,27,8904.5,852.6074957101802,Acetate-MOPS
133,13,978,13368.435109880287,31,9930.5,961.2123579280088,Acetate-MOPS
134,14,978,14945.3766575451,33,11171.5,1130.908459726078,Acetate-MOPS
135,15,978,16461.97358964471,35,12463.0,1244.6288334428446,Acetate-MOPS
136,16,978,18237.17641223292,36,13748.0,1316.826421349497,Acetate-MOPS
137,17,978,20523.206636734307,42,15408.5,1486.2471475596433,Acetate-MOPS
138,18,978,25190.784682055702,56,17857.0,1721.263230715922,Acetate-MOPS
139,19,978,27571.77438800782,60,19841.0,1924.2173984615326,Acetate-MOPS
140,20,978,30080.33007894689,64,22187.5,2154.830407552106,Acetate-MOPS
141,21,978,33062.13762528566,69,24476.0,2397.8000053337496,Acetate-MOPS
142,22,978,38020.354224087205,79,28033.5,2727.7771131519344,Acetate-MOPS
143,23,978,43440.84817045939,94,31898.5,3103.306891993916,Acetate-MOPS
144,24,978,48359.2328011588,108,35922.5,3522.1204346109216,Acetate-MOPS
145,25,978,54308.95949497749,121,40319.0,3975.322297628348,Acetate-MOPS
146,26,978,61179.53371351992,132,45534.5,4557.892723775369,Acetate-MOPS
147,27,978,69253.27339728957,146,51776.0,5152.01122993818,Acetate-MOPS
148,28,978,77272.76287861774,173,58648.0,5895.71709900042,Acetate-MOPS
149,29,978,88546.43721167766,199,67076.0,6628.798036309403,Acetate-MOPS
150,30,978,101145.9907759542,232,76716.0,7590.04225207076,Acetate-MOPS
151,31,978,115868.06651278144,258,87294.0,8657.412539202443,Acetate-MOPS
152,32,978,131036.04759740544,291,99310.0,9848.378555947254,Acetate-MOPS
153,33,978,148767.69414671452,330,112991.0,11229.051393236929,Acetate-MOPS
154,34,978,169910.30638931657,378,129716.5,12904.151767183143,Acetate-MOPS
155,35,978,193638.1619814987,447,148404.0,14841.374737760258,Acetate-MOPS
156,36,978,219497.09721423133,502,168823.5,16965.176768194084,Acetate-MOPS
157,37,978,248287.34962322845,568,192770.0,19384.898259466558,Acetate-MOPS
