,image_id,method,N_0,mu,R2
0,975,colony,1528.6252130997466,0.4681468784022443,0.9966596063481356
1,975,count,3.545036793788817,0.46300599445372465,0.9941472052795379
2,975,area,9.68956006802696,0.47027607358504103,0.9943241747074489
3,975,length,10.08710728801885,0.4730563282367538,0.9961264789601402
4,976,colony,1044.543084377493,0.4840069401850085,0.9987125829834853
5,976,count,2.490829051877017,0.469681608456328,0.9871588826170873
6,976,area,7.104026109078303,0.4698311686065655,0.9967568216854396
7,976,length,7.372539075345201,0.4757870279843948,0.997227671237608
8,977,colony,1715.6534374307773,0.4805147564576767,0.9993008406045023
9,977,count,3.8576077246830143,0.4789372449679134,0.9941045327924982
10,977,area,11.635275304367676,0.4723228089413936,0.9971665313781496
11,977,length,11.740136406585027,0.4797647789573086,0.9958187820195046
12,978,colony,2652.043963232714,0.486973378580329,0.9989344499241938
13,978,count,6.078562095239315,0.4811284800341897,0.9936958774317802
14,978,area,17.564792510992902,0.47584328657731906,0.9942103258146807
15,978,length,18.938285907478363,0.4777028833853218,0.9928340660769792
16,979,colony,1574.8599278392094,0.4921077619405593,0.9971011727170027
17,979,count,4.098745650866316,0.4718964488405989,0.9944642846931979
18,979,area,10.73851502154318,0.48074563927903463,0.9954952622716783
19,979,length,11.032789921475509,0.4874841104790241,0.9966634457161583
20,980,colony,3867.1508880491174,0.4643745080531062,0.9986072105979161
21,980,count,8.70891640828289,0.46128026826645746,0.9911528102952587
22,980,area,25.13794394661826,0.4617653371572521,0.9944219113640395
23,980,length,25.175609228311323,0.47085752966364824,0.9944799810514756
24,982,colony,1760.71111251953,0.47243422625165643,0.9969409583811208
25,982,count,3.958654024702398,0.4686287814807007,0.9923378522920725
26,982,area,11.88846558112586,0.46437757624449555,0.9908029053554729
27,982,length,11.991707984975823,0.4709086756375845,0.9923351786214794
28,983,colony,2185.4806863385893,0.47508098936852194,0.9974366884495748
29,983,count,4.999792066969818,0.4701402620922239,0.9933754464742341
30,983,area,14.048575680264328,0.46569130351503346,0.9919313473571126
