,0
cf86fed75af94622b8c73e82ac60d06f,1000.0
942eab33e20940608a09bddbe3043e32,1000.0
22350604cd934977bef62281ea6bb3a9,1000.0
7792bde8500143668ee15339667eb599,1000.0
1aab96777d1a4ad8bd86375fdc67c77d,1000.0
5e05441c73f844de99386d2a57546563,1000.0
6aa17c04d0764a97962550b05cdd3777,1000.0
7311d6fbe4cd48dcb237355add37ba14,1000.0
963c4220e67d4675a4f9a67aa391f73d,1000.0
12c9ef0884ce4fcdb215efe8b417feb9,1000.0
016ca8f72ca9447c84163add5818b9eb,1000.0
4e272c761a6a447ab072c8bd707d43a4,1000.0
732e00b7c2504b86a3bb3b9691a756f1,1000.0
cffbd5f42d2b40928d3a741307f9bf65,0.0
009490b1f9c94d908c4924cf90d4bf7d,1000.0
16b82d9451434e1bb5810eebe51d14e7,1000.0
9489088baa404c8d88d98959f4e7dac6,1000.0
8f14ec9da3b74909b3c360389c8027d4,1000.0
6cf24d82c683458f9597640cc7daad88,1000.0
4a2ffb03a829412cab1a6c3c177415d3,1000.0
762341d8690b4639a845fd2f6c85e88a,1000.0
db671e6032264fc49f4c3e77d2e7ec28,1000.0
79686546b3fb44d3bfc0d19ec604ea94,1000.0
8131204be65d4de48c19666bca3077c4,1000.0
6d241774baae430cb85128f207754ee3,1000.0
7b74aae5fb7a443ab384b5a476dda002,1000.0
b268832982a54fb0bb1f7acc8602c364,1000.0
792451c636314865b37a883c6a3901d2,1000.0
2abf80a17dc540fc880d5a186c0e67e7,1000.0
c8e38e4c18684bc98a6dd94ac44aa332,100.0
5ec4bd1f29dc41b1ac513cc929ec2692,100.0
ae6c48d0376f437fbf6bd2b6c1ce737b,1000.0
242963ffc057481281a35fad2c643ab3,1000.0
92e54853c23d47cbb5a35b6d1d3f2d87,1000.0
31abc73895c54d08806f4be899c49833,1000.0
5ef816d6b6d94f21ba04cd9cf6b5173f,1000.0
67f89a96499049c1b12dde2f18523dba,1000.0
765522cd9fbe4d67b02cac5cc9045180,1000.0
35daec610a394b40a5f30a6e9aa16526,1000.0
fe00ac04a7d84b7384cdaae1442192ca,1000.0
c85f77a863ff40228601e495a5401f9b,1000.0
288b46e1e05e468b8579b818bbd63823,1000.0
430f30c367fe456d92ccc41897abe5e7,1000.0
aa02a91af9c245638082499679621c9a,1000.0
54fc39ab037e4f3ea3d3977308eeb9c3,1000.0
7644fe306aa24fdba1b1fe6509ab994d,1000.0
fe9d001f6ec1410bba7e59556eeb66da,1000.0
b7cfb48242a84212a715a53bb27ce6ef,1000.0
4aebcfce89b748e4bb2a5ca529f484ba,1000.0
e10e1e4557384c13a98699689063bfa1,1000.0
5e933854a497416196804376fce3824f,1000.0
6ae45c18df594889bd6cb3b00014c0b8,0.0
e3db82ec5f454bb5ba48347aa84f7f3a,0.0
baad8891847a47b6b65cd80adc830ad5,1000.0
